table with row headers in column B and column headers in rows 3 through 4;;;;;;;;;;;;;
Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2019 Population: April 1, 2010 to July 1, 2019;;;;;;;;;;;;;
Rank;Geographic Area;avril 1, 2010;;Population Estimate (as of July 1);;;;;;;;;
111;Rochester city, New York;210565;210674;210217;210491;210329;210179;209329;208561;207659;206410;206004;205695
112;Port St. Lucie city, Florida;164603;164203;164848;166283;167888;169405;172669;177695;183521;189119;194808;201846
113;Grand Rapids city, Michigan;188040;188036;188007;189104;190821;192982;194335;195056;196556;199135;200136;201013
114;Huntsville city, Alabama;180105;180395;180941;182327;183748;186001;187834;190333;192412;195420;198125;200574
115;Salt Lake City city, Utah;186440;186433;186643;188265;190183;192121;191837;192163;194680;200932;200435;200567
116;Frisco city, Texas;116989;117174;118201;123515;128445;136794;144965;154390;164176;177730;188452;200490
117;Yonkers city, New York;195976;196026;196407;197584;198057;198769;199367;199667;200077;199873;199883;200370
118;Amarillo city, Texas;190695;190666;191249;193763;195404;196248;197200;197816;198694;199722;199183;199371
119;Glendale city, California;191719;191692;191720;192656;193859;195318;198232;199197;200118;201804;200688;199303
120;Huntington Beach city, California;189992;191038;191296;192995;194174;197107;199610;200653;200284;200938;200126;199223
121;McKinney city, Texas;131117;131152;132934;137928;143510;149207;157143;163612;173577;182104;191748;199177
122;Montgomery city, Alabama;205764;205501;205593;205198;203946;202439;201435;201018;200441;200047;198899;198525
123;Augusta-Richmond County consolidated government (balance), Georgia;195844;195859;196375;195847;196989;196602;196579;196763;197276;197018;197025;197888
124;Aurora city, Illinois;197899;197975;198207;199150;199648;199803;200189;200315;200799;200391;199199;197757
125;Akron city, Ohio;199110;199209;199081;199112;198969;198972;199008;198588;198068;198085;197884;197597
126;Little Rock city, Arkansas;193524;193538;193972;195292;196564;197143;197595;198178;198631;198314;197484;197312
127;Tempe city, Arizona;161719;161774;162323;164477;168549;170740;175636;179114;184877;185792;191746;195805
128;Columbus city, Georgia;189885;190570;191101;195271;198965;203225;200563;198702;196219;193836;194169;195769
129;Overland Park city, Kansas;173372;173329;174040;176034;178683;180932;183980;186222;189302;191327;192724;195494
130;Grand Prairie city, Texas;175396;175468;175974;178903;182030;183891;185824;188411;192095;193973;193989;194543
131;Tallahassee city, Florida;181376;181050;181438;182997;186298;185602;187094;188645;188870;191655;192763;194500
132;Cape Coral city, Florida;154305;154309;154731;157330;160558;164336;168365;173572;178534;183701;189468;194495
133;Mobile city, Alabama;195111;194659;194577;193801;193761;193288;192582;191975;191472;190190;189809;188720
134;Knoxville city, Tennessee;178874;178134;178258;179955;181093;181779;182631;184046;184986;186905;187362;187603
135;Shreveport city, Louisiana;199311;200976;201437;202327;202347;200469;198259;197001;194672;192023;189360;187112
136;Worcester city, Massachusetts;181045;180891;181759;182387;182575;183327;184559;184627;184859;185325;185555;185428
137;Ontario city, California;163924;163936;164377;165756;166630;167096;168097;170210;172561;175334;180718;185010
138;Vancouver city, Washington;161791;167159;167595;169046;170035;171565;173406;176409;178621;180360;182887;184463
139;Sioux Falls city, South Dakota;153888;153978;154533;156471;159847;163478;167050;170183;173503;177636;180398;183793
140;Chattanooga city, Tennessee;167674;170322;170574;172341;173972;175325;175321;176400;177746;179530;181918;182799
141;Brownsville city, Texas;175023;174729;175362;178154;179652;180648;181656;181528;182311;182384;182333;182781
142;Fort Lauderdale city, Florida;165521;165754;166126;169012;170909;172275;175153;177356;178837;179877;182101;182437
143;Providence city, Rhode Island;178042;177770;178029;178332;178813;178692;179119;179252;179548;179252;179520;179883
144;Newport News city, Virginia;180719;180955;180888;180078;180056;181275;181522;180958;180209;179447;178523;179225
145;Rancho Cucamonga city, California;165269;165380;166226;167928;169959;170815;173220;174203;175782;176921;177345;177603
146;Santa Rosa city, California;167815;175038;175238;176243;177093;178684;180585;181485;181909;181596;176750;176753
147;Peoria city, Arizona;154065;154048;154846;155014;155326;156354;157770;160431;164212;168192;172263;175961
148;Oceanside city, California;167086;167547;168079;170008;171590;173175;174318;175189;175451;175884;175758;175742
149;Elk Grove city, California;153015;152995;153375;155615;158083;160251;162701;165997;169156;171425;172603;174775
150;Salem city, Oregon;154637;154931;155247;156171;157369;158814;160675;163175;166478;169627;172646;174365
151;Pembroke Pines city, Florida;154750;154898;155265;158278;160245;162133;164065;165800;168321;170707;171975;173591
152;Eugene city, Oregon;156185;156431;156527;157424;158238;158441;160260;162910;165927;169391;170701;172622
153;Garden Grove city, California;170883;170958;171181;172957;173809;174422;174423;174343;174571;173422;172195;171644
154;Cary town, North Carolina;135234;135840;137086;142209;146154;151328;155439;159712;162477;165927;168042;170282
155;Fort Collins city, Colorado;143986;144879;145268;146673;149508;152668;156804;160991;163004;165541;168324;170243
156;Corona city, California;152374;152315;153052;154693;157405;158763;160419;163154;166067;167310;168476;169868
157;Springfield city, Missouri;159498;159341;159376;160246;161915;163708;164749;166133;166541;167116;167539;167882
158;Jackson city, Mississippi;173514;173551;173698;175149;174822;172927;172014;170901;169022;166823;163772;160628
159;Alexandria city, Virginia;139966;139998;140729;144219;147291;149637;151375;153654;156698;159215;159069;159428
160;Hayward city, California;144186;144427;144835;146935;149406;151753;154376;157999;159331;160324;159760;159203
161;Clarksville city, Tennessee;132929;132901;133486;136104;142652;142281;145899;148147;149162;152917;156376;158146
162;Lakewood city, Colorado;142980;142600;142759;144087;145396;146878;149434;152052;154039;154966;156682;157935
163;Lancaster city, California;156633;156649;156824;158078;158253;159055;159634;159813;159633;159434;158622;157601
164;Salinas city, California;150441;150607;150887;152412;153815;154958;155717;156244;156830;156463;155647;155465
165;Palmdale city, California;152750;152733;152936;153996;154861;156495;156770;156988;156739;156558;156158;155079
166;Hollywood city, Florida;140768;140709;141013;143421;144998;146038;146978;148313;151630;153371;154381;154817
167;Springfield city, Massachusetts;153060;153132;153569;153773;153933;154056;154376;154582;154028;154207;154329;153606
168;Macon-Bibb County, Georgia;(X);155783;155814;156211;156606;155031;154329;153945;153152;152840;152903;153159
169;Kansas City city, Kansas;145786;145783;145878;146227;147454;148899;150122;151502;152485;152739;152965;152960
170;Sunnyvale city, California;140081;140060;140462;143805;146436;148055;149769;151630;153544;153217;152807;152703
171;Pomona city, California;149058;149061;149107;149693;150453;151072;152225;152407;152445;152468;151925;151691
172;Killeen city, Texas;127921;127747;129024;130838;134240;136294;137589;140147;142854;145149;148683;151666
